Category,N_genes,Mean_Sparsity_pct,Mean_PCC_D_8um,Mean_PCC_E_8um,Mean_Delta_PCC,Std_Delta_PCC,Mean_SSIM_D,Mean_SSIM_E,Mean_Delta_SSIM,P_value,N_Poisson_wins
Mitochondrial,10,84.1,0.5181,0.6569,0.1388,0.1498,0.2501,0.3608,0.1106,0.0168,9/10
Secretory,4,95.4,0.1094,0.3458,0.2364,0.2102,0.235,0.6339,0.3989,0.11,3/4
Epithelial,8,96.6,0.0835,0.2618,0.1783,0.0637,0.2066,0.6226,0.416,9.76e-05,8/8
Stromal,6,96.7,0.0748,0.3049,0.2302,0.0711,0.2953,0.6125,0.3172,5.13e-04,6/6
Immune,6,96.4,0.1157,0.3238,0.2081,0.1149,0.6179,0.8157,0.1978,0.0068,6/6
Housekeeping,10,95.6,0.1525,0.3165,0.164,0.0849,0.2103,0.4498,0.2395,1.78e-04,10/10
Other,6,97.7,0.076,0.2385,0.1624,0.0816,0.1938,0.5766,0.3828,0.0046,6/6
OVERALL,50,93.9,0.1882,0.3683,0.1801,0.1113,0.2768,0.553,0.2762,1.88e-15,48/50
